matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possess_Number,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Malfunction,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
78,4904,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,Red2
64,4904,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,Red3
90,4904,0,0,1,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,Red3
13,4904,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,2,3,0,0,0,0,Blue4
23,4904,0,0,1,0,0,0,0,0,3,0,0,2,4,1,1,0,0,0,0,0,4,3,3,0,0,0,0,Blue4
3,4904,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
57,4904,0,0,1,0,0,0,0,0,3,0,0,3,4,2,0,0,0,0,0,0,6,6,5,0,0,0,0,Blue5
43,4904,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,Blue6
3,2473,0,0,1,0,1,0,0,0,1,0,2,3,4,0,2,0,0,0,0,0,5,0,4,0,0,0,0,Red2
11,2473,0,0,1,0,1,0,0,0,1,0,3,3,4,0,3,0,0,0,0,0,4,5,4,0,0,0,0,Red2
27,2473,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,2,4,5,0,0,0,0,Red2
48,2473,0,0,1,0,1,0,0,0,1,0,1,3,6,0,1,0,0,0,3,0,4,0,6,0,0,0,0,Red3
69,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
53,2473,0,0,1,0,1,0,0,0,1,0,0,5,5,0,4,1,2,0,1,0,3,1,5,0,0,0,0,Blue4
37,2473,0,0,1,0,1,0,0,0,1,0,1,3,6,0,0,1,0,0,1,0,6,1,5,0,0,0,0,Blue6
62,2473,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,1,0,3,4,6,0,0,0,0,Blue6
83,2473,0,0,1,0,1,0,0,0,2,0,0,1,4,0,1,0,1,0,0,0,5,6,5,0,0,0,0,Blue6
96,2473,0,0,1,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,3,3,4,0,0,0,0,Blue6
23,1323,2,0,0,0,0,0,0,0,1,0,1,4,0,0,1,1,2,0,0,0,5,2,4,0,0,0,0,Red1
37,1323,0,0,1,0,0,0,0,0,1,0,1,5,7,0,0,1,1,0,1,0,7,3,7,0,0,0,0,Red1
47,1323,0,0,1,0,0,0,0,0,1,0,3,4,8,1,1,0,0,0,0,0,8,2,8,0,0,0,0,Red3
56,1323,1,0,1,0,1,0,0,0,1,0,0,4,6,2,0,0,2,0,2,0,6,3,7,0,0,0,0,Red3
84,1323,0,0,1,2,0,0,0,0,1,0,0,2,6,0,1,4,1,0,1,0,7,0,7,0,0,0,0,Red3
92,1323,0,0,0,0,0,0,0,0,1,0,0,4,7,3,1,0,0,0,0,0,7,6,7,0,0,0,0,Blue4
65,1323,0,0,0,0,0,0,0,0,1,0,3,3,6,3,0,0,0,0,1,0,6,2,7,0,0,0,0,Blue5
5,1323,2,0,1,0,0,0,0,0,1,0,0,6,7,1,0,3,1,0,2,0,6,2,7,0,0,0,0,Blue6
10,1323,1,0,1,0,0,0,0,0,1,0,5,6,6,1,4,0,1,0,0,0,5,2,5,0,0,0,1,Blue6
77,1323,1,0,1,1,0,0,0,0,1,0,0,3,6,0,1,0,3,0,0,0,7,0,6,0,0,0,0,Blue6
98,1323,0,0,1,0,2,0,0,0,1,0,0,2,6,2,0,0,3,0,0,0,5,0,7,0,0,0,0,Blue6
30,1967,0,0,1,0,1,0,0,0,3,0,2,2,1,0,1,0,0,0,0,0,3,4,2,0,0,0,0,Red1
51,1967,0,0,1,0,0,0,0,0,1,0,2,1,6,0,2,0,0,0,0,0,6,3,6,0,0,0,0,Red1
60,1967,0,0,1,0,1,0,0,0,1,0,0,2,5,0,1,0,1,0,0,1,3,0,4,0,0,0,0,Red2
85,1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
94,1967,0,0,1,0,1,0,0,0,1,0,1,2,5,0,1,0,0,0,0,0,5,2,6,0,0,0,0,Red2
39,1967,0,0,1,0,1,0,0,0,1,0,0,2,4,1,1,1,0,0,0,0,3,0,4,0,0,0,0,Red3
12,1967,0,0,1,1,0,0,0,0,1,0,3,2,4,3,0,0,0,0,0,0,4,2,5,0,0,0,1,Blue4
