matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
96,668,0,0,1,0,0,0,0,0,1,0,0,64,0,2,0,0,0,0,64,1,32,0,0,0,0,Red3
2,668,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,Blue5
36,668,0,0,1,0,1,0,0,0,2,0,0,8,0,2,0,0,0,0,2,32,16,0,0,0,0,Blue5
53,668,1,0,1,0,0,0,0,0,3,0,0,8,0,0,0,0,0,1,16,4,32,0,0,0,1,Blue5
60,668,0,0,1,0,1,0,0,0,1,0,0,8,0,0,0,1,0,2,16,4,16,0,0,0,0,Blue5
74,668,1,0,1,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,8,4,8,0,0,0,0,Blue5
97,1458,1,0,1,0,0,0,0,0,1,0,3,2,0,3,0,0,0,0,4,1,16,0,0,0,0,Red1
81,1458,1,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,16,8,16,0,0,0,0,Red2
88,1458,1,0,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,3,4,1,32,0,0,0,0,Red2
19,1458,0,0,1,0,1,0,0,0,3,0,2,32,0,2,0,0,0,0,32,8,16,0,0,0,1,Red3
4,1458,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Blue4
11,1458,1,0,0,0,0,0,0,0,1,0,0,32,0,0,1,0,0,0,8,4,16,0,0,0,0,Blue4
44,1458,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,16,1,8,0,0,0,0,Blue5
70,1458,0,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,4,4,16,0,0,0,0,Blue5
52,1458,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,8,2,16,0,0,0,0,Blue6
60,1458,0,0,1,0,1,0,0,0,1,0,3,16,0,3,0,0,0,0,16,16,16,0,0,0,0,Blue6
39,3250,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Red1
59,3250,1,0,1,0,0,0,0,0,1,0,3,16,0,0,0,0,0,4,32,16,32,0,0,0,1,Red1
27,3250,0,0,1,1,0,0,0,0,3,0,0,128,2,1,0,0,0,3,128,64,64,0,0,0,0,Red2
15,3250,0,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,0,1,32,8,32,0,0,0,0,Red3
52,3250,1,0,1,0,0,0,0,0,1,0,0,32,1,2,0,0,0,4,128,2,32,0,0,0,0,Red3
82,3250,1,0,1,0,0,0,0,0,3,0,1,16,0,2,0,0,0,1,16,8,8,0,0,0,0,Red3
65,3250,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,16,16,0,0,0,0,Blue4
104,3250,0,0,1,0,1,0,0,0,1,0,0,8,0,0,0,0,0,2,4,1,16,0,0,0,0,Blue4
34,3250,0,0,1,0,1,0,0,0,1,0,2,4,0,0,0,0,0,2,32,8,64,0,0,0,0,Blue5
75,3250,0,0,1,0,0,0,0,0,1,0,1,32,0,0,0,0,0,1,64,16,64,0,0,0,0,Blue5
1,3250,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,3,1,4,16,0,0,0,0,Blue6
